Prestataire,Mois,Palier kilométrique,Année,Valeur
COMPTOIR SERVICE,5,[0-4000],2023,100.00%
COMPTOIR SERVICE,5,[0-4000],2024,0.00%
COMPTOIR SERVICE,5,[4000-8000],2023,34.62%
COMPTOIR SERVICE,5,[4000-8000],2024,0.00%
COMPTOIR SERVICE,5,[8000-11000],2023,37.69%
COMPTOIR SERVICE,5,[8000-11000],2024,0.00%
COMPTOIR SERVICE,5,[11000-14000],2023,0.00%
COMPTOIR SERVICE,5,[11000-14000],2024,0.00%
COMPTOIR SERVICE,5,>14000,2023,0.00%
COMPTOIR SERVICE,5,>14000,2024,0.00%
S.T INDUSTRIE,5,[0-4000],2023,5.13%
S.T INDUSTRIE,5,[0-4000],2024,21.62%
S.T INDUSTRIE,5,[4000-8000],2023,53.85%
S.T INDUSTRIE,5,[4000-8000],2024,70.27%
S.T INDUSTRIE,5,[8000-11000],2023,38.46%
S.T INDUSTRIE,5,[8000-11000],2024,5.17%
S.T INDUSTRIE,5,[11000-14000],2023,2.56%
S.T INDUSTRIE,5,[11000-14000],2024,0.00%
S.T INDUSTRIE,5,>14000,2023,0.00%
S.T INDUSTRIE,5,>14000,2024,0.00%
SDTM,5,[0-4000],2023,15.38%
SDTM,5,[0-4000],2024,50.00%
SDTM,5,[4000-8000],2023,57.69%
SDTM,5,[4000-8000],2024,50.00%
SDTM,5,[8000-11000],2023,19.23%
SDTM,5,[8000-11000],2024,0.00%
SDTM,5,[11000-14000],2023,7.69%
SDTM,5,[11000-14000],2024,0.00%
SDTM,5,>14000,2023,0.00%
SDTM,5,>14000,2024,0.00%
TRANSMEL SARL,5,[0-4000],2023,25.00%
TRANSMEL SARL,5,[0-4000],2024,2.86%
TRANSMEL SARL,5,[4000-8000],2023,11.54%
TRANSMEL SARL,5,[4000-8000],2024,25.71%
TRANSMEL SARL,5,[8000-11000],2023,32.69%
TRANSMEL SARL,5,[8000-11000],2024,71.43%
TRANSMEL SARL,5,[11000-14000],2023,26.92%
TRANSMEL SARL,5,[11000-14000],2024,3.85%
TRANSMEL SARL,5,>14000,2023,0.00%
TRANSMEL SARL,5,>14000,2024,0.00%
COMPTOIR SERVICE,6,[0-4000],2023,43.75%
COMPTOIR SERVICE,6,[0-4000],2024,4.00%
COMPTOIR SERVICE,6,[4000-8000],2023,56.25%
COMPTOIR SERVICE,6,[4000-8000],2024,28.00%
COMPTOIR SERVICE,6,[8000-11000],2023,0.00%
COMPTOIR SERVICE,6,[8000-11000],2024,68.00%
COMPTOIR SERVICE,6,[11000-14000],2023,0.00%
COMPTOIR SERVICE,6,[11000-14000],2024,0.00%
COMPTOIR SERVICE,6,>14000,2023,0.00%
COMPTOIR SERVICE,6,>14000,2024,0.00%
S.T INDUSTRIE,6,[0-4000],2023,4.76%
S.T INDUSTRIE,6,[0-4000],2024,19.35%
S.T INDUSTRIE,6,[4000-8000],2023,59.52%
S.T INDUSTRIE,6,[4000-8000],2024,41.94%
S.T INDUSTRIE,6,[8000-11000],2023,30.95%
S.T INDUSTRIE,6,[8000-11000],2024,38.71%
S.T INDUSTRIE,6,[11000-14000],2023,4.76%
S.T INDUSTRIE,6,[11000-14000],2024,0.00%
S.T INDUSTRIE,6,>14000,2023,0.00%
S.T INDUSTRIE,6,>14000,2024,0.00%
SDTM,6,[0-4000],2023,25.00%
SDTM,6,[0-4000],2024,0.00%
SDTM,6,[4000-8000],2023,56.25%
SDTM,6,[4000-8000],2024,36.36%
SDTM,6,[8000-11000],2023,18.75%
SDTM,6,[8000-11000],2024,54.55%
SDTM,6,[11000-14000],2023,0.00%
SDTM,6,[11000-14000],2024,0.00%
SDTM,6,>14000,2023,0.00%
SDTM,6,>14000,2024,9.09%
TRANSMEL SARL,6,[0-4000],2023,19.23%
TRANSMEL SARL,6,[0-4000],2024,2.78%
TRANSMEL SARL,6,[4000-8000],2023,23.08%
TRANSMEL SARL,6,[4000-8000],2024,25.00%
TRANSMEL SARL,6,[8000-11000],2023,44.23%
TRANSMEL SARL,6,[8000-11000],2024,72.22%
TRANSMEL SARL,6,[11000-14000],2023,7.69%
TRANSMEL SARL,6,[11000-14000],2024,5.77%
TRANSMEL SARL,6,>14000,2023,5.77%
TRANSMEL SARL,6,>14000,2024,0.00%
COMPTOIR SERVICE,7,[0-4000],2023,13.33%
COMPTOIR SERVICE,7,[0-4000],2024,3.23%
COMPTOIR SERVICE,7,[4000-8000],2023,60.00%
COMPTOIR SERVICE,7,[4000-8000],2024,32.26%
COMPTOIR SERVICE,7,[8000-11000],2023,26.67%
COMPTOIR SERVICE,7,[8000-11000],2024,64.52%
COMPTOIR SERVICE,7,[11000-14000],2023,0.00%
COMPTOIR SERVICE,7,[11000-14000],2024,0.00%
COMPTOIR SERVICE,7,>14000,2023,0.00%
COMPTOIR SERVICE,7,>14000,2024,0.00%
S.T INDUSTRIE,7,[0-4000],2023,0.00%
S.T INDUSTRIE,7,[0-4000],2024,9.30%
S.T INDUSTRIE,7,[4000-8000],2023,47.50%
S.T INDUSTRIE,7,[4000-8000],2024,72.09%
S.T INDUSTRIE,7,[8000-11000],2023,37.50%
S.T INDUSTRIE,7,[8000-11000],2024,18.60%
S.T INDUSTRIE,7,[11000-14000],2023,12.50%
S.T INDUSTRIE,7,[11000-14000],2024,0.00%
S.T INDUSTRIE,7,>14000,2023,2.50%
S.T INDUSTRIE,7,>14000,2024,0.00%
SDTM,7,[0-4000],2023,26.09%
SDTM,7,[0-4000],2024,4.35%
SDTM,7,[4000-8000],2023,47.83%
SDTM,7,[4000-8000],2024,26.09%
SDTM,7,[8000-11000],2023,21.74%
SDTM,7,[8000-11000],2024,60.87%
SDTM,7,[11000-14000],2023,4.35%
SDTM,7,[11000-14000],2024,0.00%
SDTM,7,>14000,2023,0.00%
SDTM,7,>14000,2024,8.70%
TRANSMEL SARL,7,[0-4000],2023,17.65%
TRANSMEL SARL,7,[0-4000],2024,14.89%
TRANSMEL SARL,7,[4000-8000],2023,13.73%
TRANSMEL SARL,7,[4000-8000],2024,21.28%
TRANSMEL SARL,7,[8000-11000],2023,27.45%
TRANSMEL SARL,7,[8000-11000],2024,61.70%
TRANSMEL SARL,7,[11000-14000],2023,33.33%
TRANSMEL SARL,7,[11000-14000],2024,2.13%
TRANSMEL SARL,7,>14000,2023,7.84%
TRANSMEL SARL,7,>14000,2024,0.00%
COMPTOIR SERVICE,8,[0-4000],2023,50.00%
COMPTOIR SERVICE,8,[0-4000],2024,9.38%
COMPTOIR SERVICE,8,[4000-8000],2023,25.00%
COMPTOIR SERVICE,8,[4000-8000],2024,37.50%
COMPTOIR SERVICE,8,[8000-11000],2023,25.00%
COMPTOIR SERVICE,8,[8000-11000],2024,50.00%
COMPTOIR SERVICE,8,[11000-14000],2023,0.00%
COMPTOIR SERVICE,8,[11000-14000],2024,3.12%
COMPTOIR SERVICE,8,>14000,2023,0.00%
COMPTOIR SERVICE,8,>14000,2024,0.00%
S.T INDUSTRIE,8,[0-4000],2023,0.00%
S.T INDUSTRIE,8,[0-4000],2024,16.67%
S.T INDUSTRIE,8,[4000-8000],2023,35.00%
S.T INDUSTRIE,8,[4000-8000],2024,47.92%
S.T INDUSTRIE,8,[8000-11000],2023,60.00%
S.T INDUSTRIE,8,[8000-11000],2024,35.42%
S.T INDUSTRIE,8,[11000-14000],2023,5.00%
S.T INDUSTRIE,8,[11000-14000],2024,0.00%
S.T INDUSTRIE,8,>14000,2023,0.00%
S.T INDUSTRIE,8,>14000,2024,0.00%
SDTM,8,[0-4000],2023,16.67%
SDTM,8,[0-4000],2024,8.33%
SDTM,8,[4000-8000],2023,37.50%
SDTM,8,[4000-8000],2024,16.67%
SDTM,8,[8000-11000],2023,41.67%
SDTM,8,[8000-11000],2024,66.67%
SDTM,8,[11000-14000],2023,0.00%
SDTM,8,[11000-14000],2024,4.17%
SDTM,8,>14000,2023,4.17%
SDTM,8,>14000,2024,4.17%
TRANSMEL SARL,8,[0-4000],2023,15.38%
TRANSMEL SARL,8,[0-4000],2024,16.00%
TRANSMEL SARL,8,[4000-8000],2023,19.23%
TRANSMEL SARL,8,[4000-8000],2024,12.00%
TRANSMEL SARL,8,[8000-11000],2023,30.77%
TRANSMEL SARL,8,[8000-11000],2024,64.00%
TRANSMEL SARL,8,[11000-14000],2023,26.92%
TRANSMEL SARL,8,[11000-14000],2024,8.00%
TRANSMEL SARL,8,>14000,2023,7.69%
TRANSMEL SARL,8,>14000,2024,0.00%
COMPTOIR SERVICE,9,[0-4000],2023,22.58%
COMPTOIR SERVICE,9,[0-4000],2024,0.00%
COMPTOIR SERVICE,9,[4000-8000],2023,67.74%
COMPTOIR SERVICE,9,[4000-8000],2024,13.33%
COMPTOIR SERVICE,9,[8000-11000],2023,6.45%
COMPTOIR SERVICE,9,[8000-11000],2024,86.67%
COMPTOIR SERVICE,9,[11000-14000],2023,3.23%
COMPTOIR SERVICE,9,[11000-14000],2024,0.00%
COMPTOIR SERVICE,9,>14000,2023,0.00%
COMPTOIR SERVICE,9,>14000,2024,0.00%
S.T INDUSTRIE,9,[0-4000],2023,0.00%
S.T INDUSTRIE,9,[0-4000],2024,34.88%
S.T INDUSTRIE,9,[4000-8000],2023,75.00%
S.T INDUSTRIE,9,[4000-8000],2024,39.53%
S.T INDUSTRIE,9,[8000-11000],2023,22.50%
S.T INDUSTRIE,9,[8000-11000],2024,25.58%
S.T INDUSTRIE,9,[11000-14000],2023,2.50%
S.T INDUSTRIE,9,[11000-14000],2024,0.00%
S.T INDUSTRIE,9,>14000,2023,0.00%
S.T INDUSTRIE,9,>14000,2024,0.00%
SDTM,9,[0-4000],2023,9.09%
SDTM,9,[0-4000],2024,0.00%
SDTM,9,[4000-8000],2023,68.18%
SDTM,9,[4000-8000],2024,9.09%
SDTM,9,[8000-11000],2023,18.18%
SDTM,9,[8000-11000],2024,81.82%
SDTM,9,[11000-14000],2023,0.00%
SDTM,9,[11000-14000],2024,4.55%
SDTM,9,>14000,2023,4.55%
SDTM,9,>14000,2024,4.55%
TRANSMEL SARL,9,[0-4000],2023,4.26%
TRANSMEL SARL,9,[0-4000],2024,18.60%
TRANSMEL SARL,9,[4000-8000],2023,36.17%
TRANSMEL SARL,9,[4000-8000],2024,6.98%
TRANSMEL SARL,9,[8000-11000],2023,51.06%
TRANSMEL SARL,9,[8000-11000],2024,72.09%
TRANSMEL SARL,9,[11000-14000],2023,2.13%
TRANSMEL SARL,9,[11000-14000],2024,2.33%
TRANSMEL SARL,9,>14000,2023,6.38%
TRANSMEL SARL,9,>14000,2024,0.00%
COMPTOIR SERVICE,10,[0-4000],2023,32.35%
COMPTOIR SERVICE,10,[0-4000],2024,19.35%
COMPTOIR SERVICE,10,[4000-8000],2023,61.76%
COMPTOIR SERVICE,10,[4000-8000],2024,12.90%
COMPTOIR SERVICE,10,[8000-11000],2023,5.88%
COMPTOIR SERVICE,10,[8000-11000],2024,64.52%
COMPTOIR SERVICE,10,[11000-14000],2023,0.00%
COMPTOIR SERVICE,10,[11000-14000],2024,3.23%
COMPTOIR SERVICE,10,>14000,2023,0.00%
COMPTOIR SERVICE,10,>14000,2024,0.00%
S.T INDUSTRIE,10,[0-4000],2023,2.44%
S.T INDUSTRIE,10,[0-4000],2024,13.33%
S.T INDUSTRIE,10,[4000-8000],2023,87.80%
S.T INDUSTRIE,10,[4000-8000],2024,16.67%
S.T INDUSTRIE,10,[8000-11000],2023,9.76%
S.T INDUSTRIE,10,[8000-11000],2024,70.00%
S.T INDUSTRIE,10,[11000-14000],2023,0.00%
S.T INDUSTRIE,10,[11000-14000],2024,0.00%
S.T INDUSTRIE,10,>14000,2023,0.00%
S.T INDUSTRIE,10,>14000,2024,0.00%
SDTM,10,[0-4000],2023,18.18%
SDTM,10,[0-4000],2024,4.55%
SDTM,10,[4000-8000],2023,59.09%
SDTM,10,[4000-8000],2024,13.64%
SDTM,10,[8000-11000],2023,22.73%
SDTM,10,[8000-11000],2024,50.00%
SDTM,10,[11000-14000],2023,0.00%
SDTM,10,[11000-14000],2024,22.73%
SDTM,10,>14000,2023,0.00%
SDTM,10,>14000,2024,9.09%
TRANSMEL SARL,10,[0-4000],2023,0.00%
TRANSMEL SARL,10,[0-4000],2024,7.89%
TRANSMEL SARL,10,[4000-8000],2023,35.56%
TRANSMEL SARL,10,[4000-8000],2024,0.00%
TRANSMEL SARL,10,[8000-11000],2023,55.56%
TRANSMEL SARL,10,[8000-11000],2024,55.26%
TRANSMEL SARL,10,[11000-14000],2023,2.22%
TRANSMEL SARL,10,[11000-14000],2024,36.84%
TRANSMEL SARL,10,>14000,2023,6.67%
TRANSMEL SARL,10,>14000,2024,0.00%
COMPTOIR SERVICE,11,[0-4000],2023,9.38%
COMPTOIR SERVICE,11,[0-4000],2024,11.54%
COMPTOIR SERVICE,11,[4000-8000],2023,65.62%
COMPTOIR SERVICE,11,[4000-8000],2024,3.85%
COMPTOIR SERVICE,11,[8000-11000],2023,15.62%
COMPTOIR SERVICE,11,[8000-11000],2024,76.92%
COMPTOIR SERVICE,11,[11000-14000],2023,6.25%
COMPTOIR SERVICE,11,[11000-14000],2024,7.69%
COMPTOIR SERVICE,11,>14000,2023,3.12%
COMPTOIR SERVICE,11,>14000,2024,0.00%
S.T INDUSTRIE,11,[0-4000],2023,2.50%
S.T INDUSTRIE,11,[0-4000],2024,10.71%
S.T INDUSTRIE,11,[4000-8000],2023,85.00%
S.T INDUSTRIE,11,[4000-8000],2024,21.43%
S.T INDUSTRIE,11,[8000-11000],2023,12.50%
S.T INDUSTRIE,11,[8000-11000],2024,64.29%
S.T INDUSTRIE,11,[11000-14000],2023,0.00%
S.T INDUSTRIE,11,[11000-14000],2024,3.57%
S.T INDUSTRIE,11,>14000,2023,0.00%
S.T INDUSTRIE,11,>14000,2024,0.00%
SDTM,11,[0-4000],2023,9.09%
SDTM,11,[0-4000],2024,4.76%
SDTM,11,[4000-8000],2023,54.55%
SDTM,11,[4000-8000],2024,19.05%
SDTM,11,[8000-11000],2023,31.82%
SDTM,11,[8000-11000],2024,66.67%
SDTM,11,[11000-14000],2023,0.00%
SDTM,11,[11000-14000],2024,0.00%
SDTM,11,>14000,2023,4.55%
SDTM,11,>14000,2024,9.52%
TRANSMEL SARL,11,[0-4000],2023,6.25%
TRANSMEL SARL,11,[0-4000],2024,0.00%
TRANSMEL SARL,11,[4000-8000],2023,31.25%
TRANSMEL SARL,11,[4000-8000],2024,0.00%
TRANSMEL SARL,11,[8000-11000],2023,52.08%
TRANSMEL SARL,11,[8000-11000],2024,82.86%
TRANSMEL SARL,11,[11000-14000],2023,4.17%
TRANSMEL SARL,11,[11000-14000],2024,17.14%
TRANSMEL SARL,11,>14000,2023,6.25%
TRANSMEL SARL,11,>14000,2024,0.00%
COMPTOIR SERVICE,12,[0-4000],2023,30.00%
COMPTOIR SERVICE,12,[0-4000],2024,0.00%
COMPTOIR SERVICE,12,[4000-8000],2023,60.00%
COMPTOIR SERVICE,12,[4000-8000],2024,9.00%
COMPTOIR SERVICE,12,[8000-11000],2023,7.00%
COMPTOIR SERVICE,12,[8000-11000],2024,78.00%
COMPTOIR SERVICE,12,[11000-14000],2023,0.00%
COMPTOIR SERVICE,12,[11000-14000],2024,13.00%
COMPTOIR SERVICE,12,>14000,2023,3.00%
COMPTOIR SERVICE,12,>14000,2024,0.00%
S.T INDUSTRIE,12,[0-4000],2023,24.00%
S.T INDUSTRIE,12,[0-4000],2024,0.00%
S.T INDUSTRIE,12,[4000-8000],2023,69.00%
S.T INDUSTRIE,12,[4000-8000],2024,12.00%
S.T INDUSTRIE,12,[8000-11000],2023,7.00%
S.T INDUSTRIE,12,[8000-11000],2024,88.00%
S.T INDUSTRIE,12,[11000-14000],2023,0.00%
S.T INDUSTRIE,12,[11000-14000],2024,0.00%
S.T INDUSTRIE,12,>14000,2023,0.00%
S.T INDUSTRIE,12,>14000,2024,0.00%
SDTM,12,[0-4000],2023,5.00%
SDTM,12,[0-4000],2024,0.00%
SDTM,12,[4000-8000],2023,67.00%
SDTM,12,[4000-8000],2024,40.00%
SDTM,12,[8000-11000],2023,24.00%
SDTM,12,[8000-11000],2024,50.00%
SDTM,12,[11000-14000],2023,0.00%
SDTM,12,[11000-14000],2024,0.00%
SDTM,12,>14000,2023,5.00%
SDTM,12,>14000,2024,10.00%
TRANSMEL SARL,12,[0-4000],2023,0.00%
TRANSMEL SARL,12,[0-4000],2024,3.00%
TRANSMEL SARL,12,[4000-8000],2023,40.00%
TRANSMEL SARL,12,[4000-8000],2024,0.00%
TRANSMEL SARL,12,[8000-11000],2023,51.00%
TRANSMEL SARL,12,[8000-11000],2024,61.00%
TRANSMEL SARL,12,[11000-14000],2023,4.00%
TRANSMEL SARL,12,[11000-14000],2024,33.00%
TRANSMEL SARL,12,>14000,2023,4.00%
TRANSMEL SARL,12,>14000,2024,3.00%
